"","latitude","longitude","date","gdd","ppet","accumulatedGdd","accumulatedPpet","pet.amount","accumulatedPrecipitation.amount","accumulatedPet.amount"
"111",9.713951,76.682596,"2016-04-20",21.7799997329712,0.0823035011097883,2219.73499488831,34.1525544439616,6.06168152469452,227.521366268396,675.919320065292
"112",9.713951,76.682596,"2016-04-21",21.7400007247925,0,2241.4749956131,34.1525544439616,6.54389283255746,227.521366268396,682.463212897849
"113",9.713951,76.682596,"2016-04-22",22.6300001144409,0,2264.10499572754,34.1525544439616,7.53463605676673,227.521366268396,689.997848954616
"114",9.713951,76.682596,"2016-04-23",22.0900001525879,0,2286.19499588013,34.1525544439616,7.12915275443862,227.521366268396,697.127001709055
"115",9.713951,76.682596,"2016-04-24",22.350001335144,0.014815701231904,2308.54499721527,34.1673701451935,7.31206256329331,227.629699602723,704.439064272348
"116",9.713951,76.682596,"2016-04-25",22.3149995803833,0,2330.85999679565,34.1673701451935,7.403976712021,227.629699602723,711.843040984369
"117",9.713951,76.682596,"2016-04-26",22.0499992370605,0,2352.90999603271,34.1673701451935,6.87439827069677,227.629699602723,718.717439255066
"118",9.713951,76.682596,"2016-04-27",21.8850002288818,0,2374.7949962616,34.1673701451935,6.56515191088741,227.629699602723,725.282591165953
"119",9.713951,76.682596,"2016-04-28",22.4499998092651,0.620151436934279,2397.24499607086,34.7875215821278,6.82088081444985,231.859678640962,732.103471980403
"120",9.713951,76.682596,"2016-04-29",22.0950002670288,0.30569724508706,2419.33999633789,35.0932188272148,6.7963111396576,233.937292233109,738.899783120061
"121",9.713951,76.682596,"2016-04-30",22.0299997329712,NA,2441.36999607086,NA,NA,257.454399242997,738.899783120061
"122",9.713951,76.682596,"2016-05-01",21.2049989700317,NA,2462.57499504089,NA,NA,272.451366558671,738.899783120061
"123",9.713951,76.682596,"2016-05-02",22.2900009155273,0,2484.86499595642,NA,7.23765966833023,272.451366558671,746.137442788391
"124",9.713951,76.682596,"2016-05-03",22.4750003814697,0,2507.33999633789,NA,6.97205903880955,272.451366558671,753.109501827201
"125",9.713951,76.682596,"2016-05-04",22.0099992752075,0.122640686203243,2529.3499956131,NA,6.7133787986318,273.274699941278,759.822880625832
"126",9.713951,76.682596,"2016-05-05",21.2499990463257,1.36940344218501,2550.59999465942,NA,6.28985281803451,281.888046041131,766.112733443867
"127",9.713951,76.682596,"2016-05-06",21.4949998855591,0.366076746703328,2572.09499454498,NA,6.12804107306269,284.131379380822,772.24077451693
"128",9.713951,76.682596,"2016-05-07",21.539999961853,0.858986769022277,2593.63499450684,NA,6.2922907344831,289.536373868585,778.533065251413
"129",9.713951,76.682596,"2016-05-08",21.6699991226196,0.557063278919911,2615.30499362946,NA,6.28394334583506,293.036927953362,784.817008597248
"130",9.713951,76.682596,"2016-05-09",21.3850011825562,0,2636.68999481201,NA,6.13468259455906,293.036927953362,790.951691191807
"131",9.713951,76.682596,"2016-05-10",20.6700010299683,8.21566817968641,2657.35999584198,NA,5.61211806468642,339.14422775805,796.563809256493
"132",9.713951,76.682596,"2016-05-11",19.9450006484985,2.9521970353993,2677.30499649048,NA,5.03329180402794,354.003496900201,801.597101060521
"133",9.713951,76.682596,"2016-05-12",20.0799999237061,0.343702792485947,2697.38499641418,NA,4.90304517989582,355.688687220216,806.500146240417
"134",9.713951,76.682596,"2016-05-13",21.1150007247925,2.95060034544784,2718.49999713898,NA,5.83271746189227,372.898705378175,812.332863702309
"135",9.713951,76.682596,"2016-05-14",20.4950008392334,1.72382506741127,2738.99499797821,NA,5.63001506251451,382.60386647284,817.962878764824
"136",9.713951,76.682596,"2016-05-15",19.1349992752075,2.46773275858201,2758.12999725342,NA,4.34164352822782,393.317882433534,822.304522293052
"137",9.713951,76.682596,"2016-05-16",17.2049999237061,9.25430123752766,2775.33499717712,NA,2.68045772532642,418.123645678163,824.984980018378
"138",9.713951,76.682596,"2016-05-17",16.9649991989136,13.0698161160989,2792.29999637604,NA,3.02768405096141,457.694919481874,828.012664069339
"139",9.713951,76.682596,"2016-05-18",18.4849996566772,3.24843547170568,2810.78499603271,NA,3.24316479575276,468.230131044984,831.255828865092
"140",9.713951,76.682596,"2016-05-19",19.4399995803833,0.20810828847145,2830.2249956131,NA,3.91267226833917,469.044390574098,835.168501133431
"141",9.713951,76.682596,"2016-05-20",18.7050008773804,0.800319654279343,2848.92999649048,NA,3.81397947487,472.096793308854,838.982480608301
"142",9.713951,76.682596,"2016-05-21",20.3800010681152,0,2869.30999755859,NA,5.34906745966338,472.096793308854,844.331548067965
"143",9.713951,76.682596,"2016-05-22",21.4150009155273,0,2890.72499847412,NA,5.9833741325758,472.096793308854,850.314922200541
"144",9.713951,76.682596,"2016-05-23",21.4400005340576,0.61772800195124,2912.16499900818,NA,6.05444467099285,475.836793318391,856.369366871533
"145",9.713951,76.682596,"2016-05-24",21.0900001525879,5.20848090423401,2933.25499916077,NA,5.76047509059256,505.840117827058,862.129841962126
"146",9.713951,76.682596,"2016-05-25",20.5249996185303,8.44363577606175,2953.7799987793,NA,5.03197938284053,548.328318968415,867.161821344966
"147",9.713951,76.682596,"2016-05-26",20.3599996566772,0.424453497668315,2974.13999843597,NA,5.38826884843932,550.615388527513,872.550090193406
"148",9.713951,76.682596,"2016-05-27",19.6999988555908,3.53454315386378,2993.83999729156,NA,4.80325770140821,567.592710152268,877.353347894814
"149",9.713951,76.682596,"2016-05-28",18.9700002670288,2.96107184534643,3012.80999755859,NA,4.64215363394464,581.338460579515,881.995501528759
"150",9.713951,76.682596,"2016-05-29",18.7850008010864,0.741779624255124,3031.59499835968,NA,4.59954181504155,584.750306978822,886.5950433438
"151",9.713951,76.682596,"2016-05-30",19.3249998092651,2.65264642478512,3050.91999816895,NA,4.81629601491197,597.526237383485,891.411339358712
"152",9.713951,76.682596,"2016-05-31",19.0500011444092,1.32615422716877,3069.96999931335,NA,3.93633743203428,602.74642790854,895.347676790747
"153",9.713951,76.682596,"2016-06-01",18.2950010299683,3.49673904882266,3088.26500034332,NA,4.64256302199774,618.980259314179,899.990239812744
"154",9.713951,76.682596,"2016-06-02",18.8950004577637,0.742512590118592,3107.16000080109,NA,4.18706274022287,622.089206114411,904.177302552967
"155",9.713951,76.682596,"2016-06-03",19.1899995803833,0.788022443171064,3126.35000038147,NA,4.38195119402597,625.542282000184,908.559253746993
"156",9.713951,76.682596,"2016-06-04",19.3199996948242,1.68222406497753,3145.67000007629,NA,4.16406335321634,632.547169581056,912.723317100209
"157",9.713951,76.682596,"2016-06-05",19.3150005340576,0.568797077436317,3164.98500061035,NA,4.00944188183618,634.827728405595,916.732758982046
"158",9.713951,76.682596,"2016-06-06",19.1650009155273,4.92584413554694,3184.15000152588,NA,4.18961802842679,655.465133801103,920.922377010472
