"","latitude","longitude","date","gdd","ppet","accumulatedGdd","accumulatedPpet","pet.amount","accumulatedPrecipitation.amount","accumulatedPet.amount"
"1",17.423437,78.416276,"2016-01-01",13.7600002288818,0,13.7600002288818,0,5.82263209759171,0,5.82263209759171
"2",17.423437,78.416276,"2016-01-02",14.539999961853,0,28.3000001907349,0,5.06353593934878,0,10.8861680369405
"3",17.423437,78.416276,"2016-01-03",14.1850004196167,0,42.4850006103516,0,3.42603261849795,0,14.3122006554384
"4",17.423437,78.416276,"2016-01-04",13.3500003814697,0,55.8350009918213,0,4.84280769678711,0,19.1550083522256
"5",17.423437,78.416276,"2016-01-05",13.1000003814697,0,68.935001373291,0,5.09361362358714,0,24.2486219758127
"6",17.423437,78.416276,"2016-01-06",12.8049998283386,0,81.7400012016296,0,4.9529589461003,0,29.201580921913
"7",17.423437,78.416276,"2016-01-07",12.875,0,94.6150012016296,0,5.21438570115403,0,34.415966623067
"8",17.423437,78.416276,"2016-01-08",12.4349999427795,0,107.050001144409,0,4.81195206332832,0,39.2279186863953
"9",17.423437,78.416276,"2016-01-09",13.0799999237061,0,120.130001068115,0,3.49321553946336,0,42.7211342258587
"10",17.423437,78.416276,"2016-01-10",12.6900005340576,0,132.820001602173,0,4.5870614234883,0,47.308195649347
"11",17.423437,78.416276,"2016-01-11",12.1699995994568,0,144.99000120163,0,4.44660382921958,0,51.7547994785666
"12",17.423437,78.416276,"2016-01-12",13.039999961853,0,158.030001163483,0,4.49166905733477,0,56.2464685359014
"13",17.423437,78.416276,"2016-01-13",12.4800000190735,0,170.510001182556,0,5.69989813094374,0,61.9463666668451
"14",17.423437,78.416276,"2016-01-14",13.2600002288818,0,183.770001411438,0,5.94665195819687,0,67.893018625042
"15",17.423437,78.416276,"2016-01-15",14.0600004196167,0,197.830001831055,0,5.48166719466933,0,73.3746858197113
"16",17.423437,78.416276,"2016-01-16",13.4500007629395,0,211.280002593994,0,5.54634220848911,0,78.9210280282004
"17",17.423437,78.416276,"2016-01-17",14.4350004196167,0,225.715003013611,0,5.56462868625238,0,84.4856567144528
"18",17.423437,78.416276,"2016-01-18",14.5050001144409,0,240.220003128052,0,4.58758099208826,0,89.0732377065411
"19",17.423437,78.416276,"2016-01-19",14.2849998474121,0,254.505002975464,0,3.35417365852293,0,92.427411365064
"20",17.423437,78.416276,"2016-01-20",13.5349998474121,0,268.040002822876,0,2.7928650168324,0,95.2202763818964
"21",17.423437,78.416276,"2016-01-21",12.0299997329712,0,280.070002555847,0,5.29914103814111,0,100.519417420037
"22",17.423437,78.416276,"2016-01-22",11.8299999237061,0,291.900002479553,0,5.42696117522333,0,105.946378595261
"23",17.423437,78.416276,"2016-01-23",11.4700002670288,0,303.370002746582,0,5.64691834381593,0,111.593296939077
"24",17.423437,78.416276,"2016-01-24",13.1500005722046,0,316.520003318787,0,5.13154132101811,0,116.724838260095
"25",17.423437,78.416276,"2016-01-25",13.9749994277954,0,330.495002746582,0,4.65601518107825,0,121.380853441173
"26",17.423437,78.416276,"2016-01-26",14.9849996566772,0,345.480002403259,0,5.33346841606089,0,126.714321857234
"27",17.423437,78.416276,"2016-01-27",16.0500001907349,0,361.530002593994,0,4.71995390653505,0,131.434275763769
"28",17.423437,78.416276,"2016-01-28",15.75,0,377.280002593994,0,4.7000813275016,0,136.134357091271
"29",17.423437,78.416276,"2016-01-29",14.9949998855591,0,392.275002479553,0,6.09373653806368,0,142.228093629334
"30",17.423437,78.416276,"2016-01-30",15.7699995040894,0,408.045001983643,0,6.51309755177256,0,148.741191181107
"31",17.423437,78.416276,"2016-01-31",16.4199991226196,0,424.465001106262,0,5.90432577229833,0,154.645516953405
"32",17.423437,78.416276,"2016-02-01",17.3749990463257,0,441.840000152588,0,5.26437674091126,0,159.909893694316
"33",17.423437,78.416276,"2016-02-02",17.4949998855591,0,459.335000038147,0,4.14301163516225,0,164.052905329479
"34",17.423437,78.416276,"2016-02-03",16.7300004959106,0,476.065000534058,0,4.20109396732288,0,168.253999296802
"35",17.423437,78.416276,"2016-02-04",16.3049993515015,0,492.369999885559,0,6.39267509317144,0,174.646674389973
"36",17.423437,78.416276,"2016-02-05",15.6800003051758,0,508.050000190735,0,5.92729451631196,0,180.573968906285
"37",17.423437,78.416276,"2016-02-06",16.2449989318848,0,524.29499912262,0,6.24655897377162,0,186.820527880057
"38",17.423437,78.416276,"2016-02-07",17.5749998092651,0,541.869998931885,0,5.70894087955696,0,192.529468759614
"39",17.423437,78.416276,"2016-02-08",16.8349990844727,0,558.704998016357,0,5.89588951512727,0,198.425358274741
"40",17.423437,78.416276,"2016-02-09",17.2350006103516,0,575.939998626709,0,5.78172769015045,0,204.207085964891
"41",17.423437,78.416276,"2016-02-10",17.6900005340576,0,593.629999160767,0,5.47647854082286,0,209.683564505714
"42",17.423437,78.416276,"2016-02-11",18.0550003051758,0,611.684999465942,0,5.52553277561741,0,215.209097281332
"43",17.423437,78.416276,"2016-02-12",18.4549999237061,0,630.139999389648,0,5.0938138122279,0,220.302911093559
"44",17.423437,78.416276,"2016-02-13",18.2150011062622,0,648.355000495911,0,5.40297468043623,0,225.705885773996
"45",17.423437,78.416276,"2016-02-14",17.8599996566772,0,666.215000152588,0,6.27323004210011,0,231.979115816096
"46",17.423437,78.416276,"2016-02-15",16.7750005722046,0,682.990000724792,0,7.53826683937121,0,239.517382655467
"47",17.423437,78.416276,"2016-02-16",15.8850011825562,0,698.875001907349,0,6.55015568817409,0,246.067538343641
