"","date","location.latitude","location.longitude","temperatures.max","temperatures.min","precipitation.amount","solar.amount","relativeHumidity.max","relativeHumidity.min","wind.morningMax","wind.dayMax","wind.average"
"1","2016-01-01",17.4234371,78.416275,31.5200004577637,16,0,5316.21826171875,74.5400009155273,23.5100002288818,2.87493896484375,3.32871556282043,4.10593223571777
"2","2016-01-02",17.4234371,78.416275,31.8199996948242,17.2600002288818,0,5573.23291015625,74.4000015258789,18.1599998474121,3.81773734092712,3.50272083282471,2.67875361442566
"3","2016-01-03",17.4234371,78.416275,32.2200012207031,16.1499996185303,0,4576.0087890625,71.7600021362305,16.2099990844727,2.94596004486084,3.00273513793945,1.11192619800568
"4","2016-01-04",17.4234371,78.416275,30.7700004577637,15.9300003051758,0,4609.07470703125,72.5999984741211,24.8999996185303,3.12738561630249,3.90266680717468,3.07355785369873
"5","2016-01-05",17.4234371,78.416275,29.9200000762939,16.2800006866455,0,5068.119140625,84.4300003051758,26.5900001525879,3.16417908668518,3.72019171714783,3.73057579994202
"6","2016-01-06",17.4234371,78.416275,29.8299999237061,15.7799997329712,0,4881.544921875,84.0400009155273,25.3099994659424,3.31099987030029,3.44384479522705,3.51667761802673
"7","2016-01-07",17.4234371,78.416275,29.6200008392334,16.1299991607666,0,5074.830078125,90.1600036621094,26.1100006103516,4.54668807983398,4.54668807983398,4.14364433288574
"8","2016-01-08",17.4234371,78.416275,30.0100002288818,14.8599996566772,0,5008.25,79.1399993896484,22.1900005340576,3.24998116493225,4.20302057266235,2.97633004188538
"9","2016-01-09",17.4234371,78.416275,30.8899993896484,15.2700004577637,0,4898.1865234375,71.3600006103516,16.0599994659424,3.27549171447754,3.30087518692017,1.1496376991272
"10","2016-01-10",17.4234371,78.416275,30.2800006866455,15.1000003814697,0,5618.232421875,61.8800010681152,19.2600002288818,3.83470225334167,3.86614513397217,2.18407559394836
"11","2016-01-11",17.4234371,78.416275,30.1399993896484,14.1999998092651,0,6021.15625,68.9499969482422,22.8700008392334,3.70057654380798,3.69525742530823,2.09951710700989
"12","2016-01-12",17.4234371,78.416275,29.9699993133545,16.1100006103516,0,4648.12744140625,78.5400009155273,20.5699996948242,2.94404983520508,3.02472257614136,2.57858419418335
"13","2016-01-13",17.4234371,78.416275,30.1000003814697,14.8599996566772,0,5105.26904296875,73.5500030517578,21.8799991607666,2.82426524162292,2.99265146255493,4.15542984008789
"14","2016-01-14",17.4234371,78.416275,30.3999996185303,16.1200008392334,0,5335.36962890625,80.8499984741211,23.4799995422363,3.63533592224121,4.0821099281311,4.6716194152832
"15","2016-01-15",17.4234371,78.416275,30.0100002288818,18.1100006103516,0,5024.67236328125,84.25,31.2800006866455,3.62915015220642,4.01817560195923,4.72052717208862
"16","2016-01-16",17.4234371,78.416275,30.4500007629395,16.4500007629395,0,4699.095703125,80.129997253418,25.4500007629395,3.28816366195679,3.39584112167358,4.33927726745605
"17","2016-01-17",17.4234371,78.416275,30.6000003814697,18.2700004577637,0,5163.2470703125,81.2699966430664,23.5599994659424,3.31799626350403,4.02490282058716,4.00576019287109
"18","2016-01-18",17.4234371,78.416275,30.8700008392334,18.1399993896484,0,4652.57080078125,93.3499984741211,48.8400001525879,3.40009784698486,3.6736421585083,4.49837875366211
"19","2016-01-19",17.4234371,78.416275,28.1299991607666,20.4400005340576,0,3645.388671875,77.1699981689453,46.8800010681152,3.57320785522461,4.79927396774292,2.10127902030945
"20","2016-01-20",17.4234371,78.416275,27.9599990844727,19.1100006103516,0,3072.67065429688,86.7200012207031,41.6399993896484,1.94053471088409,3.01600503921509,1.48197710514069
"21","2016-01-21",17.4234371,78.416275,27.8999996185303,16.1599998474121,0,5096.4619140625,80.75,31.9899997711182,3.63001251220703,3.66937613487244,4.84427261352539
"22","2016-01-22",17.4234371,78.416275,28.1599998474121,15.5,0,4215.48291015625,82.8000030517578,23.8500003814697,5.1536922454834,5.25133514404297,4.96506786346436
"23","2016-01-23",17.4234371,78.416275,28.7800006866455,14.1599998474121,0,4931.38232421875,57.5099983215332,30.2800006866455,3.85708260536194,3.93334889411926,4.50839471817017
"24","2016-01-24",17.4234371,78.416275,30.0200004577637,16.2800006866455,0,4985.74658203125,81.4800033569336,32.1800003051758,3.39316248893738,3.45605993270874,3.88790893554688
"25","2016-01-25",17.4234371,78.416275,29.8899993896484,18.0599994659424,0,4325.8125,78.4000015258789,35.2999992370605,2.89459276199341,3.62187361717224,3.47189450263977
"26","2016-01-26",17.4234371,78.416275,31.3199996948242,18.6499996185303,0,4609.62744140625,79.3000030517578,32.4900016784668,2.77748203277588,3.26118946075439,4.09414672851562
"27","2016-01-27",17.4234371,78.416275,32.7900009155273,19.3099994659424,0,4989.47802734375,81.5899963378906,31.2999992370605,3.67315292358398,3.7396559715271,2.48312282562256
"28","2016-01-28",17.4234371,78.416275,33.6599998474121,17.8400001525879,0,5279.1318359375,89.7399978637695,14.6499996185303,2.44496941566467,3.27406167984009,1.9480756521225
"29","2016-01-29",17.4234371,78.416275,33.1399993896484,16.8500003814697,0,5969.21533203125,85.4000015258789,25.7600002288818,3.90301012992859,4.91727828979492,3.88791084289551
"30","2016-01-30",17.4234371,78.416275,34.0099983215332,17.5300006866455,0,6045.10986328125,64.6699981689453,19.5599994659424,3.62191438674927,3.85805940628052,3.65456390380859
"31","2016-01-31",17.4234371,78.416275,35.2799987792969,17.5599994659424,0,5857.15673828125,75.1600036621094,15.1300001144409,2.63945603370667,3.57857131958008,2.76360940933228
